Order_ID,Customer_ID,Product_ID,Product_Name,Category,Price,Quantity,Order_Date,Delivery_Date,Payment_Method
48ca9641-6d4c-4f39-b2e9-bf2e64eb97d8,76c18b23-a7d5-4b66-adaa-7aa143af36be,e19cbae9-8203-46ab-a8c8-5933dd0078ba,in,recognize,164.29,6.0,2020-08-26,2020-08-26,Credit Card
5ece9c62-f8d7-40eb-9a02-4ea7de0f1c6a,180f5718-28ca-4a35-adea-b74b05da3b08,932a13e1-2c6f-4f64-b644-6e9ae6cef485,list,mission,614.45,9.0,,,PayPal
,a48c729f-374a-4a46-ae22-65d691fdcca2,896de70f-ab14-4d12-a6e0-8c3cdddd8c74,society,,377.48,1.0,2020-02-21,2020-02-24,Credit Card
,6a8965d2-f002-49ab-bfa3-4412e029fb5e,19fa7a20-d5e4-410f-bd51-b31899fd200e,themselves,or,,1.0,2022-04-09,2022-04-13,Cash
d7493946-0d19-4c0e-a037-a985061a6f4f,0e6831fc-a7a4-41b4-b861-41f747702832,4202bb8b-63c1-4b59-8228-96a1d6a6efe2,those,marriage,,1.0,2021-02-12,2021-02-21,Cash
6a07c7b2-1d2e-4e62-ae13-418930a4f80d,99a3222e-41cd-445b-9942-f3252abc1290,9fda3f9c-3c1a-4db7-98a2-1683254dc912,result,create,985.08,3.0,,,PayPal
65df455d-83be-4817-bb55-e6af886c8e33,06fb68be-0ff1-49f3-9b88-1fcb3733172c,f41f44ff-7110-453e-b188-e2b4aa7d725e,something,peace,881.79,2.0,2021-11-12,,PayPal
,93427e8b-a0f6-449b-9f0b-fa256681b233,d134a793-b35b-4414-811b-a65a7edf8ae2,,down,992.71,2.0,,,PayPal
26f29160-9f9a-4924-8d29-1a365e92c853,5a098d7e-d35a-4592-b4a9-881eb627b870,6a471783-05e4-4743-8cb7-c8ec7d514a9b,take,event,136.01,9.0,2022-02-21,2022-02-24,Cash
46dea4b6-3e1e-4f6a-a29a-1e88eaf4c762,d729fa92-0909-4b06-b125-bf4a9de378dd,c39ca2fb-9462-45f3-9fd7-f9f60818bbd0,while,build,962.1,7.0,2021-10-03,2021-10-05,Cash
a499504f-687a-4f88-aeda-bf3c401ca168,ac04d16c-dc58-4197-a45d-85b16be5dc46,d82c9e95-99fc-4520-b72b-a554da58889b,before,theory,547.22,9.0,2021-12-29,2022-01-06,Cash
